word,definition
abasement,"{'Noun': ['a low or downcast state', 'depriving one of self-esteem']}"
abate,"{'Verb': ['make less active or intense', 'become less in amount or intensity']}"
aberrant,"{'Noun': ['one whose behavior departs substantially from the norm of a group'], 'Adjective': ['markedly different from an accepted norm']}"
aberration,"{'Noun': ['a state or condition markedly different from the norm', ""a disorder in one's mental state"", 'an optical phenomenon resulting from the failure of a lens or mirror to produce a good image']}"
abeyance,{'Noun': ['temporary cessation or suspension']}
abjure,"{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}"
abreast,"{'Adjective': ['being up to particular standard or level especially in being up to date in knowledge'], 'Adverb': ['alongside each other, facing in the same direction']}"
abscond,{'Verb': ['run away; usually includes taking something or somebody along']}
abstain,"{'Verb': ['refrain from voting', 'choose not to consume']}"
abstemious,"{'Adjective': ['sparing in consumption of especially food and drink', 'marked by temperance in indulgence']}"
abstruse,{'Adjective': ['difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge']}
abyss,"{'Noun': ['a bottomless gulf or pit; any unfathomable (or apparently unfathomable', 'often used figuratively']}"
accession,"{'Noun': ['a process of increasing by addition (as to a collection or group', '(civil law', 'something added to what you already have', 'agreeing with or consenting to (often unwillingly', 'the right to enter', 'the act of attaining or gaining access to a new office or right or position (especially the throne'], 'Verb': ['make a record of additions to a collection, such as a library']}"
acerbic,"{'Adjective': ['sour or bitter in taste', 'harsh or corrosive in tone']}"
acolyte,{'Noun': ['someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches']}
acumen,"{'Noun': ['a tapering point', 'shrewdness shown by keen insight']}"
adept,"{'Noun': ['someone who is dazzlingly skilled in any field'], 'Adjective': ['having or showing knowledge and skill and aptitude']}"
aesthetic,"{'Noun': ['(philosophy'], 'Adjective': ['relating to or dealing with the subject of aesthetics', 'concerning or characterized by an appreciation of beauty or good taste', 'aesthetically pleasing']}"
agog,"{'Adjective': ['highly excited by eagerness, curiosity, etc.']}"
alacrity,{'Noun': ['liveliness and eagerness']}
alleviate,"{'Verb': ['provide physical relief, as from pain', 'make easier']}"
allure,"{'Noun': ['the power to entice or attract through personal charm'], 'Verb': ['dispose or incline or entice to']}"
altruism,{'Noun': ['the quality of unselfish concern for the welfare of others']}
amalgamate,"{'Verb': ['to bring or combine together or with something else'], 'Adjective': ['joined together into a whole']}"
ambivalence,{'Noun': ['mixed feelings or emotions']}
ambivalent,{'Adjective': ['uncertain or unable to decide about what course to follow']}
ameliorate,"{'Verb': ['to make better', 'get better']}"
anachronism,"{'Noun': ['something located at a time when it could not have existed or occurred', 'an artifact that belongs to another time', 'a person who seems to be displaced in time; who belongs to another age']}"
annul,"{'Verb': ['declare invalid', 'cancel officially']}"
anodyne,"{'Noun': ['a medicine used to relieve pain'], 'Adjective': ['capable of relieving pain']}"
antipathy,"{'Noun': ['a feeling of intense dislike', 'the object of a feeling of intense aversion; something to be avoided']}"
apathy,"{'Noun': ['an absence of emotion or enthusiasm', 'the trait of lacking enthusiasm for or interest in things generally']}"
apostle,"{'Noun': ['an ardent early supporter of a cause or reform', 'any important early teacher of Christianity or a Christian missionary to a people', '(New Testament']}"
apprise,"{'Verb': ['inform (somebody', 'make aware of', 'gain in value', 'increase the value of']}"
approbation,"{'Noun': ['official approval', 'official recognition or approval']}"
appropriate,"{'Verb': ['give or assign a resource to a particular person or cause', 'take possession of by force, as after an invasion'], 'Adjective': ['suitable for a particular person or place or condition etc']}"
arbiter,"{'Noun': ['someone with the power to settle matters at will', 'someone chosen to judge and decide a disputed issue']}"
arbitrary,{'Adjective': ['based on or subject to individual discretion or preference or sometimes impulse or caprice']}
armada,{'Noun': ['a large fleet']}
arson,{'Noun': ['malicious burning to destroy property']}
artless,"{'Adjective': ['characterized by an inability to mask your feelings; not devious', 'simple and natural; without cunning or deceit', 'showing lack of art', '(of persons']}"
ascetic,"{'Noun': ['someone who practices self denial as a spiritual discipline'], 'Adjective': ['pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline', 'practicing great self-denial']}"
ascribe,{'Verb': ['attribute or credit to']}
assiduous,{'Adjective': ['marked by care and persistent effort']}
audacious,"{'Adjective': ['invulnerable to fear or intimidation', 'unrestrained by convention or propriety', 'disposed to venture or take risks']}"
austere,"{'Adjective': ['severely simple', 'of a stern or strict bearing or demeanor; forbidding in aspect', 'practicing great self-denial']}"
aver,"{'Verb': ['report or maintain', 'to declare or affirm solemnly and formally as true']}"
banal,{'Adjective': ['repeated too often; overfamiliar through overuse']}
barrage,"{'Noun': ['the rapid and continuous delivery of linguistic communication (spoken or written', 'the heavy fire of artillery to saturate an area rather than hit a specific target'], 'Verb': ['address with continuously or persistently, as if with a barrage']}"
belie,"{'Verb': ['be in contradiction with', 'represent falsely']}"
bevy,"{'Noun': ['a large gathering of people of a particular type', 'a flock of birds (especially when gathered close together on the ground']}"
bilk,"{'Verb': ['cheat somebody out of what is due, especially money', 'hinder or prevent (the efforts, plans, or desires', 'evade payment to', 'escape, either physically or mentally']}"
blight,"{'Noun': ['a state or condition being blighted', 'any plant disease resulting in withering without rotting'], 'Verb': ['cause to suffer a blight']}"
blithe,"{'Adjective': ['lacking or showing a lack of due concern', 'carefree and happy and lighthearted']}"
blowhard,{'Noun': ['a very boastful and talkative person']}
bolster,"{'Noun': ['a pillow that is often put across a bed underneath the regular pillows'], 'Verb': ['support and strengthen', 'prop up with a pillow or bolster', 'add padding to']}"
bombastic,{'Adjective': ['ostentatiously lofty in style']}
boor,{'Noun': ['a crude uncouth ill-bred person lacking culture or refinement']}
boycott,"{'Noun': [""a group's refusal to have commercial dealings with some organization in protest against its policies""], 'Verb': ['refuse to sponsor; refuse to do business with']}"
bucolic,"{'Noun': ['a country person', 'a short poem descriptive of rural or pastoral life'], 'Adjective': ['(used with regard to idealized country life', 'relating to shepherds or herdsmen or devoted to raising sheep or cattle']}"
burgeon,{'Verb': ['grow and flourish']}
burlesque,"{'Noun': ['a theatrical entertainment of broad and earthy humor; consists of comic skits and short turns (and sometimes striptease', ""a composition that imitates or misrepresents somebody's style, usually in a humorous way""], 'Verb': ['make a parody of'], 'Adjective': ['relating to or characteristic of a burlesque']}"
burnish,"{'Noun': ['the property of being smooth and shiny'], 'Verb': ['polish and make shiny']}"
buttress,"{'Noun': ['a support usually of stone or brick; supports the wall of a building'], 'Verb': ['reinforce with a buttress', 'make stronger or defensible']}"
cacophonous,{'Adjective': ['having an unpleasant sound']}
cacophony,"{'Noun': ['a loud harsh or strident noise', 'loud confusing disagreeable sounds']}"
canard,{'Noun': ['a deliberately misleading fabrication']}
canonical,"{'Adjective': ['appearing in a biblical canon', 'of or relating to or required by canon law', 'reduced to the simplest and most significant form possible without loss of generality', 'conforming to orthodox or recognized rules']}"
capricious,"{'Adjective': ['changeable', 'determined by chance or impulse or whim rather than by necessity or reason']}"
catalyst,"{'Noun': ['(chemistry', 'something that causes an important event to happen']}"
catharsis,"{'Noun': ['(psychoanalysis', 'purging the body by the use of a cathartic to stimulate evacuation of the bowels']}"
chauvinism,"{'Noun': ['fanatical patriotism', 'activity indicative of belief in the superiority of men over women']}"
chicanery,{'Noun': ['the use of tricks to deceive someone (usually to extract money from them']}
chronic,"{'Adjective': ['being long-lasting and recurrent or characterized by long suffering', 'of long duration', 'habitual']}"
circumspect,{'Adjective': ['heedful of potential consequences']}
cloture,"{'Noun': ['a rule for limiting or ending debate in a deliberative body'], 'Verb': ['terminate debate by calling for a vote']}"
coalesce,"{'Verb': ['mix together different elements', 'fuse or cause to grow together']}"
coda,{'Noun': ['the closing section of a musical composition']}
coffer,"{'Noun': ['an ornamental sunken panel in a ceiling or dome', 'a chest especially for storing valuables']}"
cogent,{'Adjective': ['powerfully persuasive']}
commensurate,{'Adjective': ['corresponding in size or degree or extent']}
compendium,"{'Noun': ['a publication containing a variety of works', 'a concise but comprehensive summary of a larger work']}"
complaisant,{'Adjective': ['showing a cheerful willingness to do favors for others']}
condone,"{'Verb': ['excuse, overlook, or make allowances for; be lenient with']}"
confound,"{'Verb': ['be confusing or perplexing to; cause to be unable to think clearly', 'mistake one thing for another']}"
conscript,"{'Noun': ['someone who is drafted into military service'], 'Verb': ['enroll into service compulsorily']}"
contrite,{'Adjective': ['feeling or expressing pain or sorrow for sins or offenses']}
convalescence,{'Noun': ['gradual healing (through rest']}
cosset,{'Verb': ['treat with excessive indulgence']}
coterie,{'Noun': ['an exclusive circle of people with a common purpose']}
craven,"{'Noun': ['an abject coward'], 'Adjective': ['lacking even the rudiments of courage; abjectly fearful']}"
credulous,"{'Adjective': ['disposed to believe on little evidence', 'showing a lack of judgment or experience']}"
daguerreotype,{'Noun': ['a photograph made by an early photographic process; the image was produced on a silver plate sensitized to iodine and developed in mercury vapor']}
daunt,{'Verb': ['cause to lose courage']}
decorum,{'Noun': ['propriety in manners and conduct']}
deference,"{'Noun': ['a courteous expression (by word or deed', ""courteous regard for people's feelings"", 'a disposition or tendency to yield to the will of others']}"
deign,"{'Verb': [""do something that one considers to be below one's dignity""]}"
delicacies,"{'Noun': ['the quality of being beautiful and delicate in appearance', 'something considered choice to eat', 'refined taste; tact', 'smallness of stature', 'lack of physical strength', 'subtly skillful handling of a situation', 'lightness in movement or manner']}"
demur,"{'Noun': [], 'Verb': ['take exception to', 'enter a demurrer']}"
depravity,"{'Noun': ['moral perversion; impairment of virtue and moral principles', 'a corrupt or depraved or degenerate act or practice']}"
depredation,"{'Noun': ['an act of plundering and pillaging and marauding', '(usually plural']}"
deride,{'Verb': ['treat or speak of with contempt']}
desiccate,"{'Verb': ['preserve by removing all water and liquids from', 'remove water from', 'lose water or moisture'], 'Adjective': ['lacking vitality or spirit; lifeless']}"
desultory,{'Adjective': ['marked by lack of definite plan or regularity or purpose; jumping from one thing to another']}
diatribe,{'Noun': ['thunderous verbal attack']}
dictum,"{'Noun': ['an authoritative declaration', 'an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding']}"
diffidence,{'Noun': ['lack of self-confidence']}
diffuse,"{'Verb': ['move outward', 'spread or diffuse through', 'cause to become widely known'], 'Adjective': ['spread out; not concentrated in one place', '(of light', 'lacking conciseness']}"
dilate,"{'Verb': ['become wider', 'add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing']}"
dilettante,"{'Noun': ['an amateur who engages in an activity without serious intentions and who pretends to have knowledge'], 'Adjective': ['showing frivolous or superficial interest; amateurish']}"
dirge,{'Noun': ['a song or hymn of mourning composed or performed as a memorial to a dead person']}
disabuse,{'Verb': ['free somebody (from an erroneous belief']}
discordant,"{'Adjective': ['not in agreement or harmony', 'lacking in harmony']}"
disingenuous,{'Adjective': ['not straightforward or candid; giving a false appearance of frankness']}
disparate,"{'Adjective': ['fundamentally different or distinct in quality or kind', 'including markedly dissimilar elements']}"
dissemble,"{'Verb': ['make believe with the intent to deceive', 'hide under a false appearance', 'behave unnaturally or affectedly']}"
dissolution,"{'Noun': ['separation into component parts', 'the process of going into solution', 'dissolute indulgence in sensual pleasure', 'the termination of a meeting', 'the termination or disintegration of a relationship (between persons or nations']}"
dissonance,"{'Noun': [""a conflict of people's opinions or actions or characters"", 'the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience', 'disagreeable sounds']}"
distend,"{'Verb': ['become wider', 'cause to expand as it by internal pressure', 'swell from or as if from internal pressure']}"
diurnal,"{'Adjective': ['of or belonging to or active during the day', 'having a daily cycle or occurring every day']}"
divest,"{'Verb': ['take away possessions from someone', 'deprive of status or authority', 'reduce or dispose of; cease to hold (an investment', ""remove (someone's or one's own""]}"
docile,"{'Adjective': ['willing to be taught or led or supervised or directed', 'ready and willing to be taught', 'easily handled or managed']}"
doff,{'Verb': ['remove']}
dote,"{'Verb': ['be foolish or senile due to old age', 'shower with love; show excessive affection for']}"
droll,{'Adjective': ['comical in an odd or whimsical manner']}
dross,"{'Noun': ['worthless or dangerous material that should be removed', 'the scum formed by oxidation at the surface of molten metals']}"
dyspeptic,"{'Noun': ['a person suffering from indigestion'], 'Adjective': ['suffering from dyspepsia', 'irritable as if suffering from indigestion']}"
ebullient,{'Adjective': ['joyously unrestrained']}
echelon,"{'Noun': ['status in a society or organization', 'a body of troops arranged in a line', 'a diffraction grating consisting of a pile of plates of equal thickness arranged stepwise with a constant offset']}"
eclectic,"{'Noun': ['someone who selects according to the eclectic method'], 'Adjective': ['selecting what seems best of various styles or ideas']}"
eddy,"{'Noun': ['founder of Christian Science in 1866 (1821-1910', 'a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself'], 'Verb': ['flow in a circular current, of liquids']}"
edify,{'Verb': ['make understand']}
effigy,{'Noun': ['a representation of a person (especially in the form of sculpture']}
effrontery,{'Noun': ['audacious (even arrogant']}
egress,"{'Noun': ['(astronomy', 'the becoming visible', 'the act of coming (or going'], 'Verb': ['come out of']}"
elegy,{'Noun': ['a mournful poem; a lament for the dead']}
elicit,"{'Verb': ['call forth (emotions, feelings, and responses', 'deduce (a principle', 'a meaning', 'derive by reason']}"
elucidate,"{'Verb': ['make clear and (more', 'make free from confusion or ambiguity; make clear']}"
endemic,"{'Noun': ['a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location', 'a plant that is native to a certain limited area'], 'Adjective': ['of or relating to a disease (or anything resembling a disease', 'native to or confined to a certain region', 'originating where it is found']}"
endow,"{'Verb': ['give qualities or abilities to', 'furnish with an endowment']}"
enervate,"{'Verb': ['weaken mentally or morally', 'disturb the composure of']}"
engender,"{'Verb': ['call forth', 'make (offspring']}"
ennui,{'Noun': ['the feeling of being bored by something tedious']}
ephemeral,"{'Noun': ['anything short-lived, as an insect that lives only for a day in its winged form'], 'Adjective': ['lasting a very short time']}"
epigram,{'Noun': ['a witty saying']}
epistemology,{'Noun': ['the philosophical theory of knowledge']}
epithet,"{'Noun': ['a defamatory or abusive word or phrase', 'descriptive word or phrase']}"
equanimity,{'Noun': ['steadiness of mind under stress']}
equivocate,{'Verb': ['be deliberately ambiguous or unclear in order to mislead or withhold information']}
errant,"{'Adjective': ['straying from the right course or from accepted standards', 'uncontrolled motion that is irregular or unpredictable']}"
ersatz,"{'Noun': ['an artificial or inferior substitute or imitation'], 'Adjective': ['artificial and inferior']}"
erstwhile,"{'Adjective': ['belonging to some prior time'], 'Adverb': ['at a previous time']}"
esoteric,{'Adjective': ['confined to and understandable by only an enlightened inner circle']}
ethos,{'Noun': ['(anthropology']}
euphony,{'Noun': ['any agreeable (pleasing and harmonious']}
exemplar,{'Noun': ['something to be imitated']}
expiate,{'Verb': ['make amends for']}
extant,{'Adjective': ['still in existence; not extinct or destroyed or lost']}
extol,"{'Verb': ['praise, glorify, or honor']}"
facade,"{'Noun': ['the face or front of a building', 'a showy misrepresentation intended to conceal something unpleasant']}"
facetious,{'Adjective': ['cleverly amusing in tone']}
faction,"{'Noun': ['a clique (often secret', 'a dissenting clique']}"
fallow,"{'Noun': ['cultivated land that is not seeded for one or more growing seasons'], 'Adjective': ['left unplowed and unseeded during a growing season', 'undeveloped but potentially useful']}"
falter,"{'Noun': ['the act of pausing uncertainly'], 'Verb': ['be unsure or weak', 'move hesitatingly, as if about to give way', 'walk unsteadily', 'speak haltingly']}"
fatuous,{'Adjective': ['extremely silly or stupid']}
feint,"{'Noun': ['any distracting or deceptive maneuver (as a mock attack'], 'Verb': ['deceive by a mock action']}"
fervid,"{'Adjective': ['characterized by intense emotion', '(archaic']}"
fetid,{'Adjective': ['offensively malodorous']}
flail,"{'Noun': ['an implement consisting of handle with a free swinging stick at the end; used in manual threshing'], 'Verb': ['give a thrashing to; beat hard', 'move like a flail; thresh about']}"
florid,"{'Adjective': ['elaborately or excessively ornamented', 'inclined to a healthy reddish color often associated with outdoor life']}"
flout,"{'Verb': ['treat with contemptuous disregard', 'laugh at with contempt and derision']}"
fluke,"{'Noun': ['a stroke of luck', 'a barb on a harpoon or arrow', 'flat bladelike projection on the arm of an anchor', 'either of the two lobes of the tail of a cetacean', 'parasitic flatworms having external suckers for attaching to a host']}"
foible,"{'Noun': ['a behavioral attribute that is distinctive and peculiar to an individual', ""the weaker part of a sword's blade from the forte to the tip""]}"
forage,"{'Noun': ['bulky food like grass or hay for browsing or grazing horses or cattle', 'the act of searching for food and provisions'], 'Verb': ['collect or look around for (food', 'wander and feed']}"
forestall,"{'Verb': ['keep from happening or arising; make impossible', 'act in advance of; deal with ahead of time']}"
fortuitous,"{'Adjective': ['having no cause or apparent cause', 'occurring by happy chance']}"
fracas,{'Noun': ['noisy quarrel']}
frenetic,{'Adjective': ['excessively agitated; distraught with fear or other violent emotion']}
frieze,"{'Noun': ['an architectural ornament consisting of a horizontal sculptured band between the architrave and the cornice', 'a heavy woolen fabric with a long nap']}"
fringe,"{'Noun': ['the outside boundary or surface of something', 'a part of the city far removed from the center', 'one of the light or dark bands produced by the interference and diffraction of light', 'a social group holding marginal or extreme views', 'a border of hair that is cut short and hangs across the forehead', 'an ornamental border consisting of short lengths of hanging threads or tassels'], 'Verb': ['adorn with a fringe', 'decorate with or as if with a surrounding fringe']}"
fusillade,"{'Noun': ['rapid simultaneous discharge of firearms'], 'Verb': ['attack with fusillade']}"
gaffe,{'Noun': ['a socially awkward or tactless act']}
gainsay,{'Verb': ['take exception to']}
gall,"{'Noun': ['an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle', 'a skin sore caused by chafing', 'abnormal swelling of plant tissue caused by insects or microorganisms or injury', 'a feeling of deep and bitter anger and ill-will', 'a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats', 'the trait of being rude and impertinent; inclined to take liberties'], 'Verb': ['become or make sore by or as if by rubbing', 'irritate or vex']}"
galvanize,"{'Verb': ['to stimulate to action', 'cover with zinc', 'stimulate (muscles']}"
gambit,"{'Noun': ['an opening remark intended to secure an advantage for the speaker', 'a maneuver in a game or conversation', 'a chess move early in the game in which the player sacrifices minor pieces in order to obtain an advantageous position']}"
garner,"{'Noun': ['a storehouse for threshed grain or animal feed'], 'Verb': [""acquire or deserve by one's efforts or actions"", 'store grain', 'assemble or get together']}"
garrulous,{'Adjective': ['full of trivial conversation']}
gerontocracy,{'Noun': ['a political system governed by old men']}
gist,"{'Noun': ['the central meaning or theme of a speech or literary work', 'the choicest or most essential or most vital part of some idea or experience']}"
goad,"{'Noun': ['a pointed instrument that is used to prod into a state of motion', 'a verbalization that encourages you to attempt something'], 'Verb': ['give heart or courage to', 'urge with or as if with a goad', 'stab or urge on as if with a pointed stick', 'annoy or provoke, as by constant criticism']}"
gossamer,"{'Noun': ['a gauze fabric with an extremely fine texture', 'filaments from a web that was spun by a spider'], 'Adjective': ['characterized by unusual lightness and delicacy', 'so thin as to transmit light']}"
gouge,"{'Noun': ['an impression in a surface (as made by a blow', 'and edge tool with a blade like a trough for cutting channels or grooves', 'the act of gouging'], 'Verb': ['force with the thumb', 'obtain by coercion or intimidation', 'make a groove in']}"
grandiloquent,"{'Adjective': ['lofty in style', 'puffed up with vanity']}"
grandiose,"{'Adjective': ['impressive because of unnecessary largeness or grandeur; used to show disapproval', 'affectedly genteel']}"
grouse,"{'Noun': ['flesh of any of various grouse of the family Tetraonidae; usually roasted; flesh too dry to broil', 'popular game bird having a plump body and feathered legs and feet'], 'Verb': ['hunt grouse', 'complain']}"
grovel,{'Verb': ['show submission or fear']}
halcyon,"{'Noun': ['(Greek mythology', 'a large kingfisher widely distributed in warmer parts of the Old World', 'a mythical bird said to breed at the time of the winter solstice in a nest floating on the sea and to have the power of calming the winds and waves'], 'Adjective': ['idyllically calm and peaceful; suggesting happy tranquillity', 'marked by peace and prosperity']}"
hapless,{'Adjective': ['deserving or inciting pity']}
harangue,"{'Noun': ['a loud bombastic declamation expressed with strong emotion'], 'Verb': ['deliver a harangue to; address forcefully']}"
hegemony,{'Noun': ['the dominance or leadership of one social group or nation over others']}
hermetic,{'Adjective': ['completely sealed; completely airtight']}
heterodox,{'Adjective': ['characterized by departure from accepted beliefs or standards']}
homage,{'Noun': ['respectful deference']}
homogeneous,{'Adjective': ['all of the same or similar kind or nature']}
iconoclast,"{'Noun': ['a destroyer of images used in religious worship', 'someone who attacks cherished ideas or traditional institutions']}"
idyll,"{'Noun': ['an episode of such pastoral or romantic charm as to qualify as the subject of a poetic idyll', 'a musical composition that evokes rural life', 'a short poem descriptive of rural or pastoral life']}"
ignoble,"{'Adjective': ['completely lacking nobility in character or quality or purpose', 'not of the nobility', 'or ungentle']}"
imbue,"{'Verb': ['spread or diffuse through', 'fill, soak, or imbue totally', 'suffuse with color']}"
immutable,"{'Adjective': ['not subject or susceptible to change or variation in form or quality or nature', 'constant and unchanging']}"
impasse,"{'Noun': ['a situation in which no progress can be made or no advancement is possible', 'a street with only one way in or out']}"
imperious,{'Adjective': ['having or showing arrogant superiority to and disdain of those one views as unworthy']}
impetuous,"{'Adjective': ['characterized by undue haste and lack of thought or deliberation', ""`brainish' is archaic"", 'marked by violent force']}"
