word,definition
impugn,{'Verb': ['attack as false or wrong']}
incise,{'Verb': ['make an incision into by carving or cutting']}
incorrigible,"{'Adjective': ['impervious to correction by punishment', 'difficult or impossible to manage or control']}"
incubus,"{'Noun': ['a male demon believed to lie on sleeping persons and to have sexual intercourse with sleeping women', 'a situation resembling a terrifying dream', 'someone who depresses or worries others']}"
inculcate,{'Verb': ['teach and impress by frequent repetitions or admonitions']}
indefatigable,{'Adjective': ['showing sustained enthusiastic action with unflagging vitality']}
indelible,{'Adjective': ['cannot be removed or erased']}
indictment,"{'Noun': ['a formal document written for a prosecuting attorney charging a person with some offense', 'an accusation of wrongdoing']}"
indolence,{'Noun': ['inactivity resulting from a dislike of work']}
ineluctable,{'Adjective': ['impossible to avoid or evade']}
ineradicable,{'Adjective': ['not able to be destroyed or rooted out']}
inert,"{'Adjective': ['unable to move or resist motion', 'having only a limited ability to react chemically; chemically inactive', 'slow and apathetic']}"
ingrate,{'Noun': ['a person who shows no gratitude']}
inquest,{'Noun': ['an inquiry into the cause of an unexpected death']}
insipid,"{'Adjective': ['lacking taste or flavor or tang', 'lacking interest or significance or impact']}"
insular,"{'Adjective': ['relating to or characteristic of or situated on an island', 'suggestive of the isolated life of an island', 'narrowly restricted in outlook or scope']}"
irascible,"{'Adjective': ['quickly aroused to anger', 'characterized by anger']}"
itinerant,"{'Noun': ['a laborer who moves from place to place as demanded by employment'], 'Adjective': ['traveling from place to place to work']}"
knell,"{'Noun': ['the sound of a bell rung slowly to announce a death or a funeral or the end of something'], 'Verb': ['ring as in announcing death', 'make (bells']}"
lachrymose,{'Adjective': ['showing sorrow']}
laconic,{'Adjective': ['brief and to the point; effectively cut short']}
lacuna,{'Noun': ['a blank gap or missing part']}
lambaste,"{'Verb': ['beat with a cane', 'censure severely or angrily']}"
larceny,{'Noun': ['the act of taking something from someone unlawfully']}
largesse,"{'Noun': ['a gift or money given (as for service or out of benevolence', 'liberality in bestowing gifts; extremely liberal and generous of spirit']}"
laud,"{'Verb': ['praise, glorify, or honor']}"
lax,"{'Adjective': ['lacking in rigor or strictness', ""pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet'"", 'lacking in firmness or tension; not taut', 'emptying easily or excessively']}"
leery,{'Adjective': ['openly distrustful and unwilling to confide']}
libertine,"{'Noun': ['a dissolute person; usually a man who is morally unrestrained'], 'Adjective': ['unrestrained by convention or morality']}"
limpid,"{'Adjective': ['clear and bright', 'transmitting light; able to be seen through with clarity', '(of language']}"
listless,"{'Adjective': ['lacking zest or vivacity', 'marked by low spirits; showing no enthusiasm']}"
livid,"{'Adjective': ['anemic looking from illness or emotion', '(of a light', 'furiously angry', 'discolored by coagulation of blood beneath the skin']}"
loll,"{'Verb': ['hang loosely or laxly', 'be lazy or idle']}"
loquacious,{'Adjective': ['full of trivial conversation']}
lucid,"{'Adjective': ['(of language', 'having a clear mind', 'capable of thinking and expressing yourself in a clear and consistent manner', 'transmitting light; able to be seen through with clarity']}"
lugubrious,{'Adjective': ['excessively mournful']}
lurid,"{'Adjective': ['horrible in fierceness or savagery', 'glaringly vivid and graphic; marked by sensationalism', 'shining with an unnatural red glow as of fire seen through smoke', 'ghastly pale']}"
maelstrom,{'Noun': ['a powerful circular current of water (usually the result of conflicting tides']}
magnate,{'Noun': ['a very wealthy or powerful businessman']}
malaise,{'Noun': ['physical discomfort (as mild sickness or depression']}
malapropism,{'Noun': ['the unintentional misuse of a word by confusion with one that sounds similar']}
malign,"{'Verb': ['speak unfavorably about'], 'Adjective': ['evil or harmful in nature or influence', 'having or exerting a malignant influence']}"
mar,"{'Noun': ['the month following February and preceding April', ""a mark or flaw that spoils the appearance of something (especially on a person's body""], 'Verb': ['make imperfect', 'destroy or injure severely']}"
maudlin,{'Adjective': ['effusively or insincerely emotional']}
middling,"{'Noun': ['any commodity of intermediate quality or size (especially when coarse particles of ground wheat are mixed with bran'], 'Verb': ['put in the middle'], 'Adjective': ['lacking exceptional quality or ability'], 'Adverb': ['to certain extent or degree']}"
milieu,{'Noun': ['the environmental condition']}
mince,"{'Noun': ['food chopped into small bits'], 'Verb': ['make less severe or harsh', 'walk daintily', 'cut into small pieces']}"
minion,{'Noun': ['a servile or fawning dependant']}
mire,"{'Noun': ['a soft wet area of low-lying land that sinks underfoot', 'deep soft mud in water or slush', 'a difficulty or embarrassment that is hard to extricate yourself from'], 'Verb': ['entrap', 'cause to get stuck as if in a mire', 'be unable to move further', 'soil with mud, muck, or mire']}"
mirth,{'Noun': ['great merriment']}
misanthropy,"{'Noun': ['hatred of mankind', 'a disposition to dislike and mistrust other people']}"
misogynist,{'Noun': ['a misanthrope who dislikes women in particular']}
modest,"{'Adjective': ['marked by simplicity; having a humble opinion of yourself', 'not large but sufficient in size or amount', 'free from pomp or affectation', 'not offensive to sexual mores in conduct or appearance', 'low or inferior in station or quality', 'humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness', 'relatively moderate, limited, or small']}"
modish,{'Adjective': ['in the current fashion or style']}
monolithic,"{'Adjective': ['imposing in size or bulk or solidity', 'characterized by massiveness and rigidity and total uniformity']}"
morose,{'Adjective': ['showing a brooding ill humor']}
munificent,{'Adjective': ['very generous']}
muse,"{'Noun': ['in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science', ""the source of an artist's inspiration""], 'Verb': ['reflect deeply on a subject']}"
myopic,"{'Adjective': ['unable to see distant objects clearly', 'lacking foresight or scope']}"
nadir,"{'Noun': ['an extreme state of adversity; the lowest point of anything', 'the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected']}"
nascent,{'Adjective': ['being born or beginning']}
natty,{'Adjective': ['marked by up-to-dateness in dress and manners']}
neophyte,"{'Noun': ['a plant that is found in an area where it had not been recorded previously', 'any new participant in some activity', 'a new convert being taught the principles of Christianity by a catechist']}"
nexus,"{'Noun': ['the means of connection between things linked in series', 'a connected series or group']}"
noisome,"{'Adjective': ['causing or able to cause nausea', 'offensively malodorous']}"
nonplussed,"{'Verb': ['be a mystery or bewildering to'], 'Adjective': ['filled with bewilderment']}"
normative,"{'Adjective': ['relating to or dealing with norms', 'pertaining to giving directives or rules']}"
nostrum,"{'Noun': ['hypothetical remedy for all ills or diseases; once sought by the alchemists', 'patent medicine whose efficacy is questionable']}"
oblique,"{'Noun': ['any grammatical case other than the nominative', 'a diagonally arranged abdominal muscle on either side of the torso'], 'Adjective': ['slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled', 'indirect in departing from the accepted or proper way; misleading']}"
obloquy,"{'Noun': ['state of disgrace resulting from public abuse', ""a false accusation of an offense or a malicious misrepresentation of someone's words or actions""]}"
obsequious,"{'Adjective': ['attempting to win favor from influential people by flattery', 'attentive in an ingratiating or servile manner']}"
occlude,{'Verb': ['block passage through']}
opaque,"{'Adjective': ['not transmitting or reflecting light or radiant energy; impenetrable to sight', 'hard or impossible to understand']}"
opine,"{'Verb': [""express one's opinion openly and without fear or hesitation"", 'expect, believe, or suppose']}"
ossify,"{'Verb': ['become bony', 'make rigid and set into a conventional pattern', 'cause to become hard and bony']}"
overwrought,"{'Verb': ['use too much', 'work excessively hard'], 'Adjective': ['deeply agitated especially from emotion']}"
paean,"{'Noun': ['a formal expression of praise', '(ancient Greece', 'especially one sung in ancient Greece to invoke or thank a deity']}"
palatial,"{'Adjective': ['relating to or being a palace', 'suitable for or like a palace']}"
pallid,"{'Adjective': ['abnormally deficient in color as suggesting physical or emotional distress', '(of light', 'or wan', 'lacking in vitality or interest or effectiveness']}"
panache,"{'Noun': ['distinctive and stylish elegance', 'a feathered plume on a helmet']}"
panegyric,"{'Noun': ['a formal expression of praise'], 'Adjective': ['formally expressing praise']}"
panoply,{'Noun': ['a complete and impressive array']}
paragon,"{'Noun': ['an ideal instance; a perfect embodiment of a concept', 'model of excellence or perfection of a kind; one having no equal']}"
parry,"{'Noun': ['(fencing', 'a return punch (especially by a boxer'], 'Verb': ['impede the movement of (an opponent or a ball', 'avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues']}"
pastiche,"{'Noun': ['a musical composition consisting of a series of songs or other musical pieces from various sources', 'a work of art that imitates the style of some previous work']}"
paucity,{'Noun': ['an insufficient quantity or number']}
peccadilloes,{'Noun': ['a petty misdeed']}
pellucid,"{'Adjective': ['transmitting light; able to be seen through with clarity', '(of language']}"
penchant,{'Noun': ['a strong liking']}
perspicacious,"{'Adjective': ['acutely insightful and wise', 'mentally acute or penetratingly discerning']}"
pertain,"{'Verb': ['be relevant to', 'be a part or attribute of']}"
phalanx,"{'Noun': ['any of the bones of the fingers or toes', 'any closely ranked crowd of people', 'a body of troops in close array']}"
philistine,"{'Noun': ['a person who is uninterested in intellectual pursuits', 'a member of an Aegean people who settled ancient Philistia around the 12th century BC'], 'Adjective': ['of or relating to ancient Philistia or its culture or its people', 'smug and ignorant and indifferent or hostile to artistic and cultural values']}"
phlegmatic,{'Adjective': ['showing little emotion']}
pine,"{'Noun': ['a coniferous tree', 'straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus'], 'Verb': ['have a desire for something or someone who is not present']}"
pique,"{'Noun': ['tightly woven fabric with raised cords', 'a sudden outburst of anger'], 'Verb': ['cause to feel resentment or indignation']}"
pithy,{'Adjective': ['concise and full of meaning']}
placate,{'Verb': ['cause to be more favorably inclined; gain the good will of']}
placated,{'Verb': ['cause to be more favorably inclined; gain the good will of']}
placid,"{'Adjective': ['(of a body of water', 'not easily irritated']}"
platitude,{'Noun': ['a trite or obvious remark']}
plethora,{'Noun': ['extreme excess']}
polemic,"{'Noun': ['a writer who argues in opposition to others (especially in theology', 'a controversy (especially over a belief or dogma'], 'Adjective': ['of or involving dispute or controversy']}"
portentous,"{'Adjective': ['of momentous or ominous significance', 'ominously prophetic', 'puffed up with vanity']}"
posit,"{'Noun': ['(logic'], 'Verb': ['put (something somewhere', 'put before', 'take as a given; assume as a postulate or axiom']}"
precis,"{'Noun': ['a sketchy summary of the main points of an argument or theory'], 'Verb': ['make a summary (of']}"
presage,"{'Noun': ['a foreboding about what is about to happen', 'a sign of something about to happen'], 'Verb': ['indicate, as with a sign or an omen']}"
prevaricate,{'Verb': ['be deliberately ambiguous or unclear in order to mislead or withhold information']}
prodigal,"{'Noun': ['a recklessly extravagant consumer'], 'Adjective': ['recklessly wasteful']}"
prolific,"{'Adjective': ['intellectually productive', 'bearing in abundance especially offspring']}"
prophetic,{'Adjective': ['foretelling events as if by supernatural intervention']}
propitiated,{'Verb': ['make peace with']}
prosaic,"{'Adjective': ['not fanciful or imaginative', 'lacking wit or imagination', 'not challenging; dull and lacking excitement']}"
proxy,"{'Noun': ['a person authorized to act for another', 'a power of attorney document given by shareholders of a corporation authorizing a specific vote on their behalf at a corporate meeting']}"
prudish,{'Adjective': ['exaggeratedly proper']}
puerile,"{'Adjective': ['of or characteristic of a child', 'displaying or suggesting a lack of maturity']}"
punctilious,{'Adjective': ['marked by precise accordance with details']}
pundit,{'Noun': ['someone who has been admitted to membership in a scholarly field']}
purist,{'Noun': ['someone who insists on great precision and correctness (especially in the use of words']}
pyre,{'Noun': ['wood heaped for burning a dead body as a funeral rite']}
quack,"{'Noun': ['an untrained person who pretends to be a physician and who dispenses medical advice', 'the harsh sound of a duck'], 'Verb': ['utter quacking noises', 'act as a medical quack or a charlatan'], 'Adjective': ['medically unqualified']}"
qualm,"{'Noun': ['uneasiness about the fitness of an action', 'a mild state of nausea']}"
quell,"{'Verb': ['suppress or crush completely', 'overcome or allay']}"
querulous,{'Adjective': ['habitually complaining']}
quibble,"{'Noun': ['an evasion of the point of an argument by raising irrelevant distinctions or objections'], 'Verb': ['evade the truth of a point or question by raising irrelevant objections', 'argue over petty things']}"
quiescence,"{'Noun': ['a state of quiet (but possibly temporary', 'quiet and inactive restfulness']}"
quixotic,{'Adjective': ['not sensible about practical matters; idealistic and unrealistic']}
quotidian,{'Adjective': ['found in the ordinary course of events']}
raconteur,{'Noun': ['a person skilled in telling anecdotes']}
recalcitrant,"{'Adjective': ['stubbornly resistant to authority or control', 'marked by stubborn resistance to authority']}"
recant,"{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}"
redress,"{'Noun': ['a sum of money paid in compensation for loss or injury', 'act of correcting an error or a fault or an evil'], 'Verb': ['make reparations or amends for']}"
repast,{'Noun': ['the food served and eaten at one time']}
reticence,{'Noun': ['the trait of being uncommunicative; not volunteering anything more than necessary']}
ribald,"{'Noun': ['a ribald person; someone who uses vulgar and offensive language'], 'Adjective': ['humorously vulgar']}"
rococo,"{'Noun': ['fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century'], 'Adjective': ['having excessive asymmetrical ornamentation']}"
rue,"{'Noun': ['European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy', 'leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy', 'sadness associated with some wrong done or some disappointment', '(French'], 'Verb': ['feel remorse for; feel sorry for; be contrite about']}"
ruminate,"{'Verb': ['chew the cuds', 'reflect deeply on a subject']}"
salient,"{'Noun': ['(military'], 'Adjective': ['having a quality that thrusts itself into attention', '(of angles', 'represented as leaping (rampant but leaning forward']}"
sanguine,"{'Noun': ['a blood-red color'], 'Adjective': ['confidently optimistic and cheerful', 'inclined to a healthy reddish color often associated with outdoor life']}"
sardonic,{'Adjective': ['disdainfully or ironically humorous; scornful and mocking']}
savant,{'Noun': ['someone who has been admitted to membership in a scholarly field']}
scintilla,"{'Noun': ['a tiny or scarcely detectable amount', 'a sparkling glittering particle']}"
sedulous,{'Adjective': ['marked by care and persistent effort']}
semantic,{'Adjective': ['of or relating to meaning or the study of meaning']}
sobriquet,"{'Noun': [""a familiar name for a person (often a shortened version of a person's given name""]}"
soliloquy,"{'Noun': ['speech you make to yourself', 'a (usually long']}"
soporific,"{'Noun': ['a drug that induces sleep'], 'Adjective': ['sleep inducing', 'inducing mental lethargy']}"
stigma,"{'Noun': ['the apical end of the style where deposited pollen enters the pistil', 'a symbol of disgrace or infamy', 'an external tracheal aperture in a terrestrial arthropod', 'a skin lesion that is a diagnostic sign of some disease']}"
stipulate,"{'Verb': ['specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement', 'give a guarantee or promise of', 'make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force']}"
stratum,"{'Noun': ['one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock', 'people having the same social, economic, or educational status', 'an abstract place usually conceived as having depth', 'a subpopulation divided into a stratified sampling']}"
strut,"{'Noun': ['a proud stiff pompous gait', 'brace consisting of a bar or rod used to resist longitudinal compression'], 'Verb': ['to walk with a lofty proud gait, often in an attempt to impress others']}"
sublime,"{'Verb': ['vaporize and then condense right back again', 'change or cause to change directly from a solid into a vapor without first melting'], 'Adjective': ['inspiring awe', 'worthy of adoration or reverence', 'lifted up or set high', 'of high moral or intellectual value; elevated in nature or style', 'greatest or maximal in degree; extreme']}"
subpoena,"{'Noun': ['a writ issued by court authority to compel the attendance of a witness at a judicial proceeding; disobedience may be punishable as a contempt of court'], 'Verb': ['serve or summon with a subpoena']}"
supine,"{'Adjective': ['lying face upward', 'passive as a result of indolence or indifference']}"
surly,{'Adjective': ['inclined to anger or bad feelings with overtones of menace']}
syncopation,"{'Noun': ['(phonology', ""as in `fo'c'sle' for `forecastle'"", 'a musical rhythm accenting a normally weak beat', 'music (especially dance music']}"
synoptic,"{'Adjective': ['presenting a summary or general view of a whole', 'presenting or taking the same point of view; used especially with regard to the first three gospels of the New Testament']}"
syntax,"{'Noun': ['the grammatical arrangement of words in sentences', 'a systematic orderly arrangement', 'studies of the rules for forming admissible sentences']}"
taciturn,{'Adjective': ['habitually reserved and uncommunicative']}
taunt,"{'Noun': ['aggravation by deriding or mocking or criticizing'], 'Verb': ['harass with persistent criticism or carping']}"
tawdry,"{'Adjective': ['tastelessly showy', 'made of inferior workmanship and materials']}"
temperate,"{'Adjective': ['(of weather or climate', 'not extreme in behavior', 'not extreme']}"
tenet,{'Noun': ['a religious doctrine that is proclaimed as true without proof']}
terse,{'Adjective': ['brief and to the point; effectively cut short']}
tirade,{'Noun': ['a speech of violent denunciation']}
toady,"{'Noun': ['a person who tries to please someone in order to gain a personal advantage'], 'Verb': ['try to gain favor by cringing or flattering']}"
tome,{'Noun': ['a (usually']}
torrid,"{'Adjective': ['characterized by intense emotion', 'emotionally charged and vigorously energetic', 'extremely hot and dry']}"
tout,"{'Noun': ['someone who buys tickets to an event in order to resell them at a profit', 'someone who advertises for customers in an especially brazen way', 'one who sells advice about gambling or speculation (especially at the racetrack'], 'Verb': ['advertize in strongly positive terms', 'show off']}"
transgression,"{'Noun': ['the act of transgressing; the violation of a law or a duty or moral principle', 'the spreading of the sea over land as evidenced by the deposition of marine strata over terrestrial strata', 'the action of going beyond or overstepping some boundary or limit']}"
treacherous,"{'Adjective': ['dangerously unstable and unpredictable', 'tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans']}"
truculent,{'Adjective': ['defiantly aggressive']}
turgid,"{'Adjective': ['ostentatiously lofty in style', 'abnormally distended especially by fluids or gas', 'or puffy']}"
turpitude,{'Noun': ['a corrupt or depraved or degenerate act or practice']}
tyro,{'Noun': ['someone new to a field or activity']}
umbrage,{'Noun': ['a feeling of anger caused by being offended']}
unprejudiced,{'Adjective': ['free from undue bias or preconceived opinions']}
upbraid,{'Verb': ['express criticism towards']}
urbane,{'Adjective': ['showing a high degree of refinement and the assurance that comes from wide social experience']}
vacuous,"{'Adjective': ['devoid of intelligence or thought', 'devoid of significance or force', 'devoid of matter']}"
vapid,"{'Adjective': ['lacking taste or flavor or tang', 'lacking significance or liveliness or spirit or zest']}"
verbose,"{'Adjective': ['using or containing too many words', 'or windy']}"
verdant,{'Adjective': ['characterized by abundance of verdure']}
vestige,{'Noun': ['an indication that something has been present']}
vilify,{'Verb': ['spread negative information about']}
virulent,"{'Adjective': ['extremely poisonous or injurious; producing venom', 'infectious; having the ability to cause disease', 'harsh or corrosive in tone']}"
viscous,"{'Adjective': ['having a relatively high resistance to flow', 'having the sticky properties of an adhesive']}"
vitiate,"{'Verb': ['corrupt morally or by intemperance or sensuality', 'make imperfect', 'take away the legal force of or render ineffective']}"
vitriol,"{'Noun': ['(H2SO4', 'abusive or venomous language used to express blame or censure or bitter deep-seated ill will'], 'Verb': ['expose to the effects of vitriol or injure with vitriol', 'subject to bitter verbal abuse']}"
vociferous,{'Adjective': ['conspicuously and offensively loud; given to vehement outcry']}
volatile,"{'Noun': ['a volatile substance; a substance that changes readily from solid or liquid to a vapor'], 'Adjective': ['evaporating readily at normal temperatures and pressures', 'liable to lead to sudden change or violence', 'marked by erratic changeableness in affections or attachments', 'tending to vary often or widely']}"
waffle,"{'Noun': ['pancake batter baked in a waffle iron'], 'Verb': ['pause or hold back in uncertainty or unwillingness']}"
waft,"{'Noun': ['a long flag; often tapering'], 'Verb': ['be driven or carried along, as by the air', 'blow gently']}"
wanton,"{'Noun': ['lewd or lascivious woman'], 'Verb': [""waste time; spend one's time idly or inefficiently"", 'indulge in a carefree or voluptuous way of life', 'spend wastefully', 'become extravagant; indulge (oneself', 'engage in amorous play', 'behave extremely cruelly and brutally'], 'Adjective': ['occurring without motivation or provocation', 'casual and unrestrained in sexual behavior', 'or light']}"
welter,"{'Noun': ['a confused multitude of things'], 'Verb': ['toss, roll, or rise and fall in an uncontrolled way', 'roll around', 'be immersed in']}"
whet,"{'Verb': ['make keen or more acute', 'sharpen by rubbing, as on a whetstone']}"
whitewash,"{'Noun': ['a defeat in which the losing person or team fails to score', 'wash consisting of lime and size in water; used for whitening walls and other surfaces', 'a specious or deceptive clearing that attempts to gloss over failings and defects'], 'Verb': ['cover up a misdemeanor, fault, or error', 'cover with whitewash', 'exonerate by means of a perfunctory investigation or through biased presentation of data']}"
whittle,"{'Noun': ['English aeronautical engineer who invented the jet aircraft engine (1907-1996'], 'Verb': ['cut small bits or pare shavings from']}"
winnow,"{'Noun': ['the act of separating grain from chaff'], 'Verb': ['separate the chaff from grain by using air currents', 'blow on', 'select desirable parts from a group or list', 'blow away or off with a current of air']}"
winsome,{'Adjective': ['charming in a childlike or naive way']}
wizened,{'Adjective': ['lean and wrinkled by shrinkage as from age or illness']}
wry,"{'Adjective': ['humorously sarcastic or mocking', 'bent to one side']}"
xenophobia,{'Noun': ['a fear of foreigners or strangers']}
yoke,"{'Noun': ['fabric comprising a fitted part at the top of a garment', 'an oppressive power', 'two items of the same kind', 'a pair of draft animals joined by a yoke', 'support consisting of a wooden frame across the shoulders that enables a person to carry buckets hanging from each end', 'a connection (like a clamp or vise', 'stable gear that joins two draft animals at the neck so they can work together as a team'], 'Verb': ['become joined or linked together', 'link with or as with a yoke', 'put a yoke on or join with a yoke']}"
zeal,"{'Noun': ['a feeling of strong eagerness (usually in favor of a person or cause', 'excessive fervor to do something or accomplish some end', 'prompt willingness']}"
pracis,
